x	rhoN2	rhoO2	rhoNO	rhoN	rhoO	u	T	Tv
1.136250	0.003940	0.000527	0.000362	0.000001	0.000548	200.214327	3659.197236	3666.159095
1.143750	0.003945	0.000525	0.000360	0.000001	0.000552	199.988108	3653.404202	3660.160008
1.151250	0.003950	0.000523	0.000358	0.000001	0.000556	199.770272	3647.803204	3654.369963
1.158750	0.003955	0.000522	0.000356	0.000001	0.000560	199.560042	3642.378601	3648.771186
1.166250	0.003960	0.000520	0.000355	0.000001	0.000563	199.356732	3637.116655	3643.348089
1.173750	0.003965	0.000519	0.000353	0.000001	0.000567	199.159734	3632.004933	3638.087706
1.181250	0.003970	0.000517	0.000351	0.000001	0.000571	198.968519	3627.033004	3632.977318
1.188750	0.003974	0.000516	0.000349	0.000001	0.000574	198.782635	3622.191382	3628.006237
1.196250	0.003979	0.000515	0.000348	0.000001	0.000577	198.601672	3617.471370	3623.165580
1.203750	0.003983	0.000513	0.000346	0.000001	0.000581	198.425267	3612.865638	3618.446458
1.211250	0.003988	0.000512	0.000344	0.000001	0.000584	198.253110	3608.367328	3613.841631
1.218750	0.003992	0.000511	0.000343	0.000001	0.000587	198.084914	3603.970380	3609.344400
1.226250	0.003996	0.000510	0.000341	0.000001	0.000590	197.920436	3599.669611	3604.948112
1.233750	0.004000	0.000508	0.000339	0.000001	0.000593	197.759461	3595.459950	3600.647691
1.241250	0.004004	0.000507	0.000338	0.000001	0.000596	197.601781	3591.336842	3596.438452
1.248750	0.004008	0.000506	0.000336	0.000001	0.000599	197.447218	3587.296290	3592.315802
1.256250	0.004012	0.000505	0.000335	0.000001	0.000602	197.295613	3583.334627	3588.275622
1.263750	0.004016	0.000504	0.000333	0.000001	0.000605	197.146826	3579.448616	3584.313881
1.271250	0.004020	0.000503	0.000332	0.000001	0.000608	197.000729	3575.635016	3580.427524
1.278750	0.004024	0.000502	0.000330	0.000001	0.000611	196.857196	3571.890874	3576.613666
1.286250	0.004027	0.000501	0.000329	0.000001	0.000614	196.716118	3568.213611	3572.869304
1.293750	0.004031	0.000500	0.000327	0.000001	0.000616	196.577399	3564.600832	3569.191674
1.301250	0.004034	0.000499	0.000326	0.000001	0.000619	196.440948	3561.050206	3565.578470
1.308750	0.004038	0.000498	0.000324	0.000001	0.000622	196.306682	3557.559625	3562.027397
1.316250	0.004041	0.000497	0.000323	0.000001	0.000624	196.174524	3554.127156	3558.536231
1.323750	0.004045	0.000496	0.000322	0.000001	0.000627	196.044404	3550.750923	3555.103054
1.331250	0.004048	0.000495	0.000320	0.000001	0.000629	195.916253	3547.429018	3551.726405
1.338750	0.004051	0.000494	0.000319	0.000001	0.000632	195.790006	3544.160002	3548.404072
1.346250	0.004055	0.000493	0.000318	0.000001	0.000634	195.665616	3540.942364	3545.134340
1.353750	0.004058	0.000492	0.000317	0.000001	0.000636	195.543027	3537.774611	3541.915744
1.361250	0.004061	0.000491	0.000315	0.000001	0.000639	195.422189	3534.655331	3538.746895
1.368750	0.004064	0.000490	0.000314	0.000001	0.000641	195.303053	3531.583238	3535.626343
1.376250	0.004067	0.000489	0.000313	0.000001	0.000643	195.185572	3528.556926	3532.553149
1.383750	0.004070	0.000488	0.000312	0.000001	0.000646	195.069700	3525.575322	3529.525779
1.391250	0.004073	0.000488	0.000311	0.000001	0.000648	194.955403	3522.637356	3526.542885
1.398750	0.004076	0.000487	0.000310	0.000001	0.000650	194.842643	3519.741800	3523.603675
1.406250	0.004079	0.000486	0.000308	0.000001	0.000652	194.731379	3516.887716	3520.706824
1.413750	0.004082	0.000485	0.000307	0.000001	0.000654	194.621582	3514.074161	3517.851168
1.421250	0.004085	0.000484	0.000306	0.000001	0.000656	194.513219	3511.300158	3515.035769
1.428750	0.004088	0.000484	0.000305	0.000001	0.000658	194.406256	3508.564642	3512.260026
1.436250	0.004090	0.000483	0.000304	0.000001	0.000661	194.300658	3505.866839	3509.522759
1.443750	0.004093	0.000482	0.000303	0.000001	0.000663	194.196399	3503.205833	3506.823246
1.451250	0.004096	0.000481	0.000302	0.000001	0.000665	194.093451	3500.580898	3504.160415
1.458750	0.004098	0.000480	0.000301	0.000001	0.000667	193.991789	3497.991289	3501.533343
1.466250	0.004101	0.000480	0.000300	0.000001	0.000668	193.891388	3495.436093	3498.941609
1.473750	0.004104	0.000479	0.000299	0.000001	0.000670	193.792217	3492.914660	3496.384244
1.481250	0.004106	0.000478	0.000298	0.000001	0.000672	193.694247	3490.426187	3493.860726
1.488750	0.004109	0.000478	0.000297	0.000001	0.000674	193.597655	3487.970096	3491.370158
1.496250	0.004111	0.000477	0.000296	0.000001	0.000676	193.496871	3485.546911	3488.912585
